seed,trial,condition,n_base,n_stim,spikes_stim,spikes_base,d_DNa02_L,s_DNa02_L,d_DNa02_R,s_DNa02_R,d_DNa01_L,s_DNa01_L,d_DNa01_R,s_DNa01_R,d_MDN,s_MDN,d_DNp09,s_DNp09,d_DNp01,s_DNp01,d_DNp02,s_DNp02,d_DNp04,s_DNp04,d_turn,d_fwd,d_escape
2026,37,bright_R,50,100,9299.36,10404.7,0.5,1.5,-2.0,6.0,-5.0,5.0,1.0,4.0,-0.875,11.125,-6.75,23.25,-6.5,8.0,0.75,1.25,-3.5,25.5,-2.5,-2.0,0.75
2026,38,disc,50,100,9813.16,9121.94,0.0,2.0,-2.0,6.0,1.0,7.0,-4.5,2.5,-0.625,10.875,6.0,29.0,1.25,11.25,0.5,2.0,2.25,27.75,-2.0,-1.75,6.0
2026,39,grey,50,100,10163.27,9532.62,-1.5,0.5,3.5,7.5,1.5,5.5,1.5,6.5,0.125,12.125,2.25,29.25,1.5,11.5,0.5,1.5,8.75,31.75,5.0,1.5,8.75
2026,40,disc,50,100,9871.5,10292.48,-1.0,0.0,-3.0,7.0,-8.5,2.5,0.0,4.0,0.875,11.875,-3.0,30.0,-3.5,12.0,-1.25,0.25,-5.5,27.0,-2.0,-4.25,0.875
2026,41,grating_R,50,100,9392.41,10258.22,-2.5,0.5,-2.5,7.5,-7.0,3.0,1.5,3.5,-2.875,10.125,-5.25,26.25,-1.25,8.75,-0.25,0.25,-2.25,27.25,0.0,-2.75,-0.25
2026,42,bright_L,50,100,9085.5,9339.62,0.0,0.0,2.0,5.0,2.5,7.5,-1.5,2.5,1.375,10.375,4.0,24.5,-4.0,7.5,-1.5,0.5,-1.25,26.25,2.0,0.5,4.0
2026,43,grey,50,100,9976.64,9525.02,0.0,1.0,0.5,7.5,2.5,6.5,0.0,4.0,-0.625,11.875,-0.75,27.75,1.5,11.5,0.25,0.75,-0.75,26.75,0.5,1.25,1.5
2026,44,grating_L,50,100,9547.32,10234.9,0.0,0.0,-1.0,9.0,-0.5,6.5,0.0,5.0,0.75,12.5,-5.75,27.25,-0.5,10.5,0.0,1.0,-1.0,27.5,-1.0,-0.25,0.75
2026,45,grating_R,50,100,9328.8,9343.44,0.0,1.0,3.0,7.0,0.5,4.5,3.5,6.5,-0.375,10.125,4.0,27.5,0.75,8.25,-1.25,0.75,-1.25,28.25,3.0,2.0,4.0
2026,46,loom,50,100,10250.13,9455.18,-1.5,0.5,2.0,9.0,4.0,8.0,2.5,5.5,-0.375,11.125,5.0,29.0,1.75,10.25,-0.25,0.75,-3.0,28.0,3.5,3.25,5.0
2026,47,grey,50,100,10427.56,10464.28,-1.5,0.5,8.0,10.0,2.5,7.5,-0.5,3.5,-1.375,11.875,0.5,29.0,-0.25,11.75,0.5,0.5,0.5,30.5,9.5,1.0,0.5
2026,48,grey,50,100,10107.47,10522.7,0.0,1.0,-0.5,9.5,-2.5,4.5,-2.0,5.0,2.0,12.0,-3.75,29.75,-2.75,10.75,-0.25,0.75,0.75,29.25,-0.5,-2.25,2.0
2026,49,grating_R,50,100,9810.46,9978.44,-0.5,0.5,2.5,9.5,-4.0,5.0,-5.0,2.0,-0.375,10.375,-4.25,27.75,0.75,10.25,0.75,1.75,0.5,29.5,3.0,-4.5,0.75
2026,50,grating_R,50,100,9315.31,9259.56,-2.5,0.5,0.0,6.0,-2.0,4.0,-2.0,3.0,0.75,10.25,2.0,24.5,-1.75,7.75,-0.5,0.0,-1.75,26.75,2.5,-2.0,2.0
2026,51,loom,50,100,10119.88,9582.86,0.5,0.5,-2.0,8.0,3.0,6.0,-1.0,5.0,0.375,13.125,1.75,29.25,3.0,11.5,0.5,0.5,-1.0,27.0,-2.5,1.0,3.0
